scanned_at,strategy,sport,market,line,home,away,kickoff,side,book,odds,impl_raw,impl_effective,edge,edge_gross,effective_odds,commission_rate,consensus,pinnacle_cons,n_books,confidence,model_signal,dispersion,outlier_z,devig_method,weight_scheme,stake,pinnacle_close_prob,clv_pct
2026-04-29 13:12 UTC,C_loose,Championship,h2h,,Preston North End,Southampton,2026-05-02 11:30,HOME,livescorebet,3.2,0.3125,0.3125,-0.014,0.0215,3.2,0.0,0.2985,0.3096,39,HIGH,-0.195,0.0113,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Lille,Le Havre,2026-05-03 13:00,HOME,ladbrokes_uk,1.44,0.6944,0.6944,-0.0051,0.0218,1.44,0.0,0.6894,0.6971,41,HIGH,+0.086,0.0085,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Angers,Strasbourg,2026-05-10 19:00,AWAY,betway,2.1,0.4762,0.4762,-0.0057,0.024,2.1,0.0,0.4704,0.451,25,MED,+0.080,0.0241,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,RC Lens,Nantes,2026-05-08 18:45,HOME,betway,1.29,0.7752,0.7752,-0.01,0.0224,1.29,0.0,0.7652,0.7586,27,MED,-0.017,0.0134,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Rennes,Paris FC,2026-05-10 19:00,HOME,betway,1.53,0.6536,0.6536,-0.0134,0.0207,1.53,0.0,0.6402,0.6385,25,MED,-0.120,0.0133,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Toulouse,Lyon,2026-05-10 19:00,HOME,betfair_ex_uk,4.1,0.2439,0.2535,-0.0177,0.0288,3.945,0.05,0.2358,0.2326,25,MED,+0.098,0.0115,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Rennes,Paris FC,2026-05-10 19:00,AWAY,smarkets,5.6,0.1786,0.1816,-0.0223,0.0296,5.508,0.02,0.1592,0.1639,25,MED,+0.048,0.0107,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Nice,RC Lens,2026-05-02 19:05,AWAY,betfair_sb_uk,1.73,0.578,0.578,-0.0289,0.0239,1.73,0.0,0.5492,0.5479,41,HIGH,-0.060,0.0066,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Ligue 1,h2h,,Auxerre,Nice,2026-05-10 19:00,HOME,smarkets,2.32,0.431,0.436,-0.0403,0.021,2.2936,0.02,0.3957,0.3926,25,MED,+0.182,0.0062,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Bundesliga 2,h2h,,Elversberg,SC Paderborn,2026-05-03 11:30,DRAW,smarkets,3.95,0.2532,0.257,-0.02,0.0536,3.891,0.02,0.237,0.233,38,HIGH,?,0.0101,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Bundesliga 2,h2h,,Dynamo Dresden,1. FC Kaiserslautern,2026-05-02 11:00,HOME,betfair_sb_uk,1.8,0.5556,0.5556,-0.038,0.0207,1.8,0.0,0.5176,0.5272,39,HIGH,?,0.0088,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Bundesliga 2,h2h,,Greuther Fürth,1. FC Nürnberg,2026-05-03 11:30,AWAY,betfair_sb_uk,2.3,0.4348,0.4348,-0.0383,0.025,2.3,0.0,0.3965,0.3945,38,HIGH,?,0.0085,0.0,shin,uniform,0.0,,
2026-04-29 13:12 UTC,C_loose,Bundesliga 2,h2h,,Karlsruher SC,SV Darmstadt 98,2026-05-03 11:30,AWAY,betfair_ex_uk,2.16,0.463,0.4757,-0.0571,0.2254,2.102,0.05,0.4186,0.4248,38,HIGH,-0.028,0.0382,0.0,shin,uniform,0.0,,
2026-04-30 08:00 UTC,C_loose,ATP Madrid Open,h2h,,Flavio Cobolli,Alexander Zverev,2026-04-30 18:10,AWAY,betway,1.38,0.7246,0.7246,-0.0054,0.0235,1.38,0.0,0.7192,0.7122,35,HIGH,?,0.0081,0.0,shin,uniform,0.0,,
2026-04-30 08:00 UTC,C_loose,WTA Madrid Open,h2h,,Hailey Baptiste,Mirra Andreeva,2026-04-30 14:00,HOME,sport888,3.1,0.3226,0.3226,-0.0033,0.0256,3.1,0.0,0.3193,0.3235,35,HIGH,?,0.0106,0.0,shin,uniform,0.0,,
2026-04-30 08:00 UTC,C_loose,WTA Madrid Open,h2h,,Marta Kostyuk,Anastasia Potapova,2026-04-30 19:30,HOME,sport888,1.4,0.7143,0.7143,-0.0039,0.0257,1.4,0.0,0.7104,0.7108,35,HIGH,?,0.0081,0.0,shin,uniform,0.0,,
